Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
1,1,1,2.88507936507937,7,7,0,3,2.57609332399988,-1,7.24248186799923
1,1,2,2.82267573696145,7,8,1,2,2.19365939399904,-1,1.84800154100049
1,1,3,2.18267573696145,7,5,-2,2,2.74662944099873,-1,1.6073386120006
1,1,4,2.53532879818594,7,6,-1,2,2.12082606900003,-1,0.946860883999761
1,1,5,1.96498866213152,7,6,-1,3,3.20088670900077,-1,2.59475100999953
1,1,6,2.50775510204082,7,7,0,2,2.56982654899912,-1,0.887443301999156
1,1,7,2.57596371882086,7,7,0,2,5.56256339799984,-1,2.63150550099999
1,1,8,2.29877551020408,7,7,0,2,2.42723878099969,-1,3.25393395100036
1,1,9,2.46131519274376,7,6,-1,2,4.17316232300072,-1,2.87826778499948
1,1,10,2.52371882086168,7,7,0,2,2.32468654900003,-1,3.06100628599961
1,1,11,1.95482993197279,7,5,-2,1,2.34990945900063,-1,0.884500512000159
1,1,12,2.59337868480726,7,6,-1,3,2.70038173900139,-1,1.61346737399981
1,1,13,2.01868480725624,7,6,-1,2,3.66056892699999,-1,2.33984191799937
1,1,14,2.0390022675737,7,6,-1,2,3.5366647130013,-1,1.05496146799851
1,1,15,2.87637188208617,7,8,1,1,2.62864400900071,-1,1.00542242699885
1,1,16,1.75310657596372,7,6,-1,3,3.08417956799894,-1,1.62735051799973
1,1,17,2.33650793650794,7,6,-1,2,3.36326772199936,-1,1.60608597899954
1,1,18,2.10575963718821,7,6,-1,3,1.87848038599986,-1,2.4590200269995
1,1,19,2.07673469387755,7,5,-2,1,3.44914715600135,-1,1.25695953700051
1,1,20,2.55709750566893,7,7,0,3,2.39732284599995,-1,3.07178233400009
1,1,21,2.53532879818594,7,6,-1,2,4.79859794399999,-1,1.95011521299966
1,1,22,2.65433106575964,7,6,-1,1,2.18953610300014,-1,1.35456376299953
1,1,23,1.99256235827664,7,6,-1,3,1.83888949200082,-1,1.6661864609996
1,1,24,3.37269841269841,7,9,2,1,3.09101394299978,-1,1.17752423599995
1,1,25,2.83863945578231,7,7,0,2,3.11079864499879,-1,1.01318335599899
1,1,26,2.29732426303855,7,7,0,2,1.56249981200017,-1,1.25996945200131
1,1,27,2.23201814058957,7,6,-1,3,2.03496797099979,-1,1.83173801900011
1,1,28,1.86630385487528,7,6,-1,1,1.85475885099913,-1,0.955393715001264
1,1,29,2.65142857142857,7,7,0,2,1.49927961000139,-1,0.952969371999643
1,1,30,2.20009070294785,7,5,-2,1,2.71547897900018,-1,0.330680150000262
1,1,31,1.95482993197279,7,5,-2,2,2.91527074700025,-1,1.32156892200146
1,1,32,2.98956916099773,7,7,0,2,3.10017886999958,-1,1.05080276499939
1,1,33,2.38294784580499,7,6,-1,1,2.1474760100009,-1,2.57847940300053
1,1,34,2.18267573696145,7,6,-1,2,5.25638568500108,-1,2.7953179899996
1,1,35,3.01133786848073,7,7,0,1,1.93439325100007,-1,0.863187875000222
1,1,36,2.13768707482993,7,5,-2,3,4.05725928500033,-1,0.927844900001219
1,1,37,2.05786848072562,7,6,-1,1,1.93252953400042,-1,3.2530208169992
1,1,38,2.07092970521542,7,5,-2,1,1.68360294500053,-1,2.55212933900111
1,1,39,2.27845804988662,7,7,0,2,1.85507745700124,-1,1.24243729800037
1,1,40,2.10575963718821,7,6,-1,3,5.39606269400065,-1,1.55278789099975
1,1,41,1.45414965986395,7,5,-2,1,2.06559157899937,-1,0.294074485000237
1,1,42,1.84453514739229,7,6,-1,3,1.47019314700083,-1,1.54649814000004
1,1,43,2.1231746031746,7,6,-1,3,3.20920903899969,-1,3.09031520200006
1,1,44,3.07519274376417,7,8,1,1,1.82027898600063,-1,1.24231678799879
1,1,45,2.30022675736961,7,7,0,2,4.34902704200067,-1,2.82374784300009
1,1,46,1.76036281179138,7,5,-2,1,2.12392506600008,-1,1.0119368450014
1,1,47,2.20154195011338,7,6,-1,2,4.06024597300166,-1,1.50641000599899
1,1,48,2.4584126984127,7,7,0,3,3.33133514499968,-1,3.20820488799836
